,job_name,comp_name,comp_loc,salary,job_description,job_url
0,Python and Django Developer,Infogain3.7899  Reviews,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Delhi / NCR",10-20 Lacs PA,"Should have hands on Python, Django ORM, SQL, DRF CELERY . Should be able to guide, lea...",https://www.naukri.com/job-listings-python-and-django-developer-infogain-pune-maharashtra-bangalore-rural-karnataka-delhi-ncr-7-to-12-years-100224003569
1,Senior Software Developer(C++ & Python),Wsp Consultants4.2485  Reviews,"Hybrid - Noida, Bengaluru",Not disclosed,What will you be doing?WSP is seeking a highly skilled and experienced Coding Specialis...,https://www.naukri.com/job-listings-senior-software-developer-c-python-wsp-consultants-noida-bengaluru-3-to-8-years-080224010285
2,Python Software Developer,Placement Pandits,"Gurugram, Haryana(Sector-24 Gurgaon)",Not disclosed,Opening is with Stock Broking co Role & responsibilities We are currently seeking a tal...,https://www.naukri.com/job-listings-python-software-developer-placement-pandits-gurugram-haryana-1-to-3-years-120224001461
3,Python Software Developer,SP Software3.978  Reviews,"Gurugram, Haryana, Bengaluru",10-20 Lacs PA,"Develop, test, and maintain high-quality software using Python programming language. . ...",https://www.naukri.com/job-listings-python-software-developer-sp-software-gurugram-haryana-bengaluru-5-to-9-years-080224004671
4,Python AWS -Developer Senior Engineer _ Hybrid policy|| IRIS Software,Iris Software4.21134  Reviews,"Hybrid - Noida, Uttar Pradesh, Gurugram, Haryana",Not disclosed,"Extensive experience with Data gathering and ingestion (from multiple sources), and man...",https://www.naukri.com/job-listings-python-aws-developer-senior-engineer-hybrid-policy-iris-software-iris-software-noida-uttar-pradesh-gurugram-haryana-5-to-8-years-020224008762
5,Python Developer,Coforge3.53848  Reviews,Hybrid - Greater Noida,15-30 Lacs PA (Including Variable: 5.0%),"Detailed JD - . Proficient in Python, SQL, and cloud-based data platforms (e.gExperienc...",https://www.naukri.com/job-listings-python-developer-coforge-greater-noida-5-to-10-years-120224003446
6,"Data Engineer- Databricks, Python, Pyspark, SQL - 4+ years, PAN India",Crescendo Global Leadership Hiring India Private L Imited,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",15-25 Lacs PA,". Bachelors degree in computer science, Information Technology, or related fieldPreferr...",https://www.naukri.com/job-listings-data-engineer-databricks-python-pyspark-sql-4-years-pan-india-crescendo-global-leadership-hiring-india-private-l-imited-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-100224005084
7,"Genpact Hiring For AWS data engineer with Python, SQL",Genpact3.926172  Reviews,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",Not disclosed," With a startup spirit and 115, 000+ curious and courageous minds, we have the expertis...",https://www.naukri.com/job-listings-genpact-hiring-for-aws-data-engineer-with-python-sql-genpact-hyderabad-secunderabad-bangalore-bengaluru-delhi-ncr-7-to-12-years-080224005580
8,Python Developer - Data Structure & Algorithm,Marktine4.652  Reviews,"Mumbai, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"Position Overview :As a Python Developer with a strong grasp of algorithms, you will pl...",https://www.naukri.com/job-listings-python-developer-data-structure-algorithm-marktine-mumbai-delhi-ncr-bangalore-bengaluru-4-to-8-years-290124902496
9,Software Engineer - Python Developer,Prismberry4.63  Reviews,Noida,Not disclosed,Key skills and experience required: A minimum of 2 years of experience as an individual...,https://www.naukri.com/job-listings-software-engineer-python-developer-prismberry-noida-2-to-4-years-070224500487
10,Php And Python Developer,Itio Innovex4.010  Reviews,"Ghaziabad, Uttar Pradesh(Kaushambi)",4.5-9.5 Lacs PA, Job Description of PHP DeveloperCOMPANY : ITIO INNOVEX PVT LTDJOB ROLE : PHP DEVELOPER...,https://www.naukri.com/job-listings-php-and-python-developer-itio-innovex-ghaziabad-uttar-pradesh-2-to-5-years-120224003396
11,Python Software Developer,Puresoftware3.2336  Reviews,"Gurugram, Haryana",Not disclosed,Preferred candidate profile. A bachelors degree in computer science and at least 5 year...,https://www.naukri.com/job-listings-python-software-developer-puresoftware-gurugram-haryana-5-to-10-years-060224005761
12,Job || Python Lead Developer || Wipro || Gurugram,Wipro3.839097  Reviews,Gurugram,Not disclosed,Requirements: Overall Relevant experience ranges from 4 to 6 years. Bachelors Degree in...,https://www.naukri.com/job-listings-python-lead-developer-wipro-gurugram-wipro-gurugram-5-to-9-years-050224005286
13,Senior Software Developer (Python),Osttra3.926  Reviews,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Ahmedabad",Not disclosed,". Bachelors / Master s Degree in Computer Science, Information Systems or equivalentExp...",https://www.naukri.com/job-listings-senior-software-developer-python-osttra-hyderabad-secunderabad-gurgaon-gurugram-ahmedabad-3-to-7-years-310124502345
14,Python (Programming Language)-Software Development Engineer,Accenture4.046299  Reviews,Gurgaon/Gurugram,Not disclosed,Educational Qualification :Any Technical GraduationTechnical Experience : 1-Expert know...,https://www.naukri.com/job-listings-python-programming-language-software-development-engineer-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-10-years-090224911475
15,Python Software Developer,Fast Track Projects1.03  Reviews,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",Not disclosed,Python Developers with Angular skills Location: PAN INDIA,https://www.naukri.com/job-listings-python-software-developer-fast-track-projects-hyderabad-bengaluru-delhi-ncr-4-to-8-years-310124007982
16,Python Developer,Manupatra Information Solutions4.251  Reviews,"Noida, Uttar Pradesh(Sector-1 Noida)",5-13 Lacs PA,"Responsible for working on extraction of data, good in web scrapers and web crawlers wh...",https://www.naukri.com/job-listings-python-developer-manupatra-information-solutions-noida-uttar-pradesh-2-to-6-years-080224005190
17,Data Engineer - Python & AWS Glue || Noida & Gurgaon,Iris Software4.21134  Reviews,"Hybrid - New Delhi, Noida, Uttar Pradesh, Gurugram, Haryana",Not disclosed,"Hi, We are hiring Cloud Data Engineer for Noida/Gurugram Location.Shift Time : 12:00 PM...",https://www.naukri.com/job-listings-data-engineer-python-aws-glue-noida-gurgaon-iris-software-noida-uttar-pradesh-new-delhi-gurugram-haryana-5-to-8-years-090224004573
18,Data Engineer- Python Pyspark || Noida or Gurgaon,Iris Software4.21134  Reviews,"Noida, Uttar Pradesh",12-22 Lacs PA,Communication skills: good communication skills required as coordination with global te...,https://www.naukri.com/job-listings-data-engineer-python-pyspark-noida-or-gurgaon-iris-software-noida-uttar-pradesh-5-to-9-years-070224004798
19,Senior Python Developer,Shyftlabs2.63  Reviews,Gurgaon/Gurugram,Not disclosed,"Basic Qualifications: . Bachelors degree in Computer Science, Engineering, or a related...",https://www.naukri.com/job-listings-senior-python-developer-shyftlabs-gurgaon-gurugram-3-to-8-years-080224500444
